"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"135","中","契約・契約期間未確定","MFIW-000403","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Er2AJ/view","63077993","INV-0000001409","合同会社小島屋","合同会社小島屋","2026-07-20","8800","","","","Rendery_Proプラン_1アカウント(月額費用) / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 合同会社小島屋 / 請求日: 2026-07-20","取引先「合同会社小島屋」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"136","中","その他","MFIW-000404","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Yq7Es2AJ/view","63077995","INV-0000001410","三菱地所レジデンス株式会社","三菱地所レジデンス株式会社","2026-07-20","52800","","CP-00000069","","Rendery Enterpriseプラン_3アカウント_月払い / 数量:3 / 単価:16,000 / 金額:48,000 / 確定:Rendery_Enterpriseプラン","O01","検証メッセージを確認","検証メッセージとFreee原本を比較し、停止理由が解消しているか確認する。","修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","再検証後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"137","中","契約・商品未確定","MFIW-000405","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3t2AF/view","63110944","INV-0000001411","株式会社野村工務店","株式会社野村工務店","2026-07-20","1584000","","","","Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン","C01,P01","請求区分と契約先: 株式会社野村工務店 / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Enterpriseプラン_10アカウント_月額費用」 -> 「[代理販売20%] Rendery Enterpriseプラン」","取引先「株式会社野村工務店」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"138","中","契約・商品未確定","MFIW-000406","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3u2AF/view","63110969","INV-0000001412","株式会社サンテン・コーポレーション","株式会社サンテン・コーポレーション","2026-07-20","35200","","","","Rendery Proプラン_月額費用 / 数量:4 / 単価:8,000 / 金額:32,000 / 候補:Rendery Proプラン","C01,P01","請求区分と契約先: 株式会社サンテン・コーポレーション / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Proプラン_月額費用」 -> 「Rendery Proプラン」","取引先「株式会社サンテン・コーポレーション」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery Proプラン_月額費用」（数量 4、単価 8,000 円）を商品「Rendery Proプラン」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"139","中","契約・商品未確定","MFIW-000407","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3v2AF/view","63120578","INV-0000001413","株式会社パインウェル","株式会社パインウェル","2026-07-20","8800","","","","Rendery Proプラン（月額） / 数量:1 / 単価:8,000 / 金額:8,000 / 候補:Rendery Proプラン","C01,P01","請求区分と契約先: 株式会社パインウェル / 請求日: 2026-07-20 || 商品候補確認: 「Rendery Proプラン（月額）」 -> 「Rendery Proプラン」","取引先「株式会社パインウェル」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。 明細「Rendery Proプラン（月額）」（数量 1、単価 8,000 円）を商品「Rendery Proプラン」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"140","中","商品未確定","MFIW-000410","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3y2AF/view","63125575","INV-0000001416","株式会社大塚商会","株式会社大塚商会","2026-07-20","14080","","CP-00000061","","Rendery_Pro_月額利用料_注文番号：405342481 / 数量:2 / 単価:6,400 / 金額:12,800 / 候補:[代理販売20%] Rendery Proプラン","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405342481」 -> 「[代理販売20%] Rendery Proプラン」","明細「Rendery_Pro_月額利用料_注文番号：405342481」（数量 2、単価 6,400 円）を商品「[代理販売20%] Rendery Proプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"141","中","契約・契約期間未確定","MFIW-000411","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK3z2AF/view","63125666","INV-0000001417","帝国不動産株式会社","帝国不動産株式会社","2026-07-20","52800","","","","Rendery(Pro用)・月額料金 / 数量:6 / 単価:8,000 / 金額:48,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 帝国不動産株式会社 / 請求日: 2026-07-20","取引先「帝国不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"142","中","契約・契約期間未確定","MFIW-000412","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK402AF/view","63125722","INV-0000001418","三菱地所株式会社(DX推進部)","三菱地所株式会社(DX推進部)","2026-07-20","17600","","","","Rendery_Pro_月額利用料 / 数量:2 / 単価:8,000 / 金額:16,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-07-20","取引先「三菱地所株式会社(DX推進部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"143","中","契約・商品未確定","MFIW-000413","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK412AF/view","63126510","INV-0000001419","野村不動産株式会社","野村不動産株式会社","2026-07-20","2244000","","","","Rendery Enterpriseプラン_年払い / 数量:120 / 単価:14,000 / 金額:1,680,000 / 確定:[年払] Rendery Enterpriseプラン || セキュリティオプション(シングルサインオン)月額費用 / 数量:12 / 単価:30,000 / 金額:360,000 / 候補:Rendery セキュリティオプション(SSO)_運用費用","C01,P02","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-07-20 || 商品選択: 「セキュリティオプション(シングルサインオン)月額費用」","取引先「野村不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。 明細「セキュリティオプション(シングルサインオン)月額費用」（数量 12、単価 30,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"144","中","商品未確定","MFIW-000414","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqK422AF/view","63127138","INV-0000001420","株式会社大塚商会","株式会社大塚商会","2026-07-20","1584000","","CP-00000061","","Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン || Rendery Enterpriseプラン_10アカウント_月額費用 / 数量:10 / 単価:12,000 / 金額:120,000 / 候補:[代理販売20%] Rendery Enterpriseプラン","P01","商品候補確認: 「Rendery Enterpriseプラン_10アカウント_月額費用」 -> 「[代理販売20%] Rendery Enterpriseプラン」","明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。 明細「Rendery Enterpriseプラン_10アカウント_月額費用」（数量 10、単価 12,000 円）を商品「[代理販売20%] Rendery Enterpriseプラン」としてよいか確認する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"145","中","契約・契約期間未確定","MFIW-000415","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO22AN/view","63128994","INV-0000001421","株式会社ワンズ・レーニア","株式会社ワンズ・レーニア","2026-07-20","82500","","","","Rendery enterpriseプラン / 数量:5 / 単価:15,000 / 金額:75,000 / 確定:Rendery Enterpriseプラン","C01","請求区分と契約先: 株式会社ワンズ・レーニア / 請求日: 2026-07-20","取引先「株式会社ワンズ・レーニア」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"146","中","契約・商品未確定","MFIW-000421","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO82AN/view","63150544","INV-0000001427","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-07-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-07-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"147","中","商品未確定","MFIW-000422","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqSO92AN/view","63150545","INV-0000001428","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-07-20","175450","","CP-00000126","","knock knock AI_Enterpriseプラン_1200クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","明細「knock knock AI_Enterpriseプラン_1200クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"148","中","契約・契約期間未確定","MFIW-000426","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuR2AV/view","63150551","INV-0000001432","株式会社JR東日本建築設計","株式会社JR東日本建築設計","2026-07-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-07-20","取引先「株式会社JR東日本建築設計」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"149","中","契約・契約期間未確定","MFIW-000427","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuS2AV/view","63150553","INV-0000001433","アイリスオーヤマ株式会社(空間デザイン部)","アイリスオーヤマ株式会社(空間デザイン部)","2026-07-20","12100","","","","RenderyEnterpriseプラン_月額 / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-07-20","取引先「アイリスオーヤマ株式会社(空間デザイン部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"150","中","契約・契約期間未確定","MFIW-000428","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuT2AV/view","63150554","INV-0000001434","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-07-20","48400","","","","RenderyEnterpriseプラン_月額 / 数量:4 / 単価:11,000 / 金額:44,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-07-20","取引先「アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"151","中","契約・契約期間未確定","MFIW-000429","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000YqLuU2AV/view","63150555","INV-0000001435","九州旅客鉄道株式会社(博多設備区)","九州旅客鉄道株式会社(博多設備区)","2026-07-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-07-20","取引先「九州旅客鉄道株式会社(博多設備区)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-07-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
